sentence_id	original	translation	gloss	grammaticality	sentence_answerset_id	sentence_strategy_id
1	"in de wilde bukweite voort lüllen"	"to chatter about, to babble about nothing in particular (Lit.: to chatter around in the wild buckwheat)"	"in the.SG.NN wild buckwheat forward chatter"	ok	Deventers	174
2	"ik heb mien 'n poeste in 't lief egèten"	"I ate so much that I feel bad (Lit.: I ate myself a pimple)"	"I have me a pimple in the.SG.N body eat.PTCP"	ok	Deventers	242
3	"ik heb mien de konte uut den haok (naod) eloopen"	"I have walked too fast (Lit.: I have walked myself the ass out of the hook (crack))"	"I have me the.SG.NN ass out the.SG.NN hook (seam) walk.PTCP"	ok	Deventers	241
4	"deur 't knökkelenbos motten / deur knokkel en bos motten"	"to go through a rough time (Lit.: to have to go through the forest of bones)"	"through the.SG.N bones_forest must / through bone and forest must"	ok	Deventers	182
5	"zeuken met zien broodoogen "	"to look for something carelessly, without real effort (Lit.: to search with his bready eyes)"	"search with his bread_eyes"	ok	Deventers	173
6	"in de kniepert zitten"	"to have the wind up, to be in trouble (Lit.: to sit in the ?kniepert)"	"in the.SG.NN ?kniepert sit"	ok	Deventers	181
7	"Iemand iets inschünen"	"to incite someone to something evil (Lit.: to urge someone something)"	"someone something urge"	ok	Deventers	208
8	"de Battemse krante lèzen"	"to nap (Lit.: to read the newspapers from Bathmen, a village near Deventer)"	"the.PL Battem-LOC newspaper-PL read"	ok	Deventers	160
9	"de kuierlatten nemmen"	"to go by foot (Lit.: to take the strolling rakes)"	"the.PL stroll_rake.PL take"	ok	Deventers	159
10	"de melk optrekken"	"to not keep one's promise (Lit.: to haul up the milk)"	"the.SG.NN milk up-haul"	ok	Deventers	158
11	"n möjlek lipken trekken"	"to look sad, to start crying, to pout (Lit.: to pull a difficult lip)"	"a difficult lip.DIM pull"	ok	Deventers	161
12	"Hee vrög mien 't hemd van 't gat"	"He asked me more than I can say, he asked me everything (Lit.: He asked me the shirt of the ass)"	"he ask.PST me the.SG.N shirt of the.SG.N ass"	ok	Deventers	243
13	"Hee löp het gat üt den naod"	"He is hurrying (Lit.: He is walking the ass out of his seam)"	"he walk the.SG.N ass out the.SG.NN seam"	ok	Deventers	224
16	"op zien falie kriegen"	"to receive a beating (Lit.: to get on his ?falie)"	"on his ?falie get"	ok	Deventers	175
18	"zwaore vrachten op zien pokkel nemmen "	"He's taking on a lot of responsibilities (Lit.: to take heavy burdens on one's shoulder.)"	"heavy burden.PL on his shoulder take"	ok	Deventers	234
19	"niet under de gaanzen oetbrödt wezen"	"to not be stupid (Lit.: to not be brooded under the geese)"	"not under the.PL geese.PL out_brooded.PTCP be"	ok	Drents	412
20	"'t is 'm in de hoozen zakt "	"He left it at that. (Lit.: It has sunk him in the pants)"	"it is him in the.PL pants sink-PTCP"	ok	Drents	442
21	"Hij is uut de tied kommen"	"He passed away. (Lit.: He has come out of time.)"	"he is out the.SG.NN time come.PTCP"	ok	Drents	550
