strategy_id	strategy_name	strategy_description	strategy_answerset_id
1	"bruiloft houwe"	"een beerput ledigen"	Utrechts
2	"ergens een dagtaak aan hebben"	"heel veel werk hebben aan iets; er de hele dag mee bezig zijn"	Utrechts
3	"bal zijn"	"er is ergens ruzie"	Utrechts
4	"eiere gare"	"dagelijkse activiteit van eieren verzamelen"	Utrechts
5	"gebbetjes make"	"grapjes maken"	Utrechts
6	"goed geneesvlees hebbe"	"lichaam herstelt snel na operatie"	Utrechts
7	"halskeels werk hebbe"	"nauwelijks klaar kunnen krijgen"	Utrechts
8	"thuis legge"	"in de kost zijn"	Utrechts
9	"poot-an speulen"	"hard werken"	Utrechts
10	"zwiet slaan"	"de rijke uithangen"	Utrechts
11	"rut zijn"	"alles verloren hebben"	Utrechts
12	"z'n ogen laten beschiete"	"even indommelen"	Utrechts
13	"z´n draai hebbe"	"genoegen hebben"	Utrechts
14	"z'n mellek optrekke"	terugkrabbelen	Utrechts
15	"z'n streng vasthouwe"	"niet toegeven"	Utrechts
16	"de blankste billen hebben"	"de winnaar zijn"	Utrechts
17	"de bokkepruik op hebben"	"slecht gehumeurd zijn"	Utrechts
18	"n gruwel zijn"	"erg zijn"	Utrechts
19	"n handtast zijn"	"dat kost niet veel tijd"	Utrechts
20	"n brom in hebbe"	"dronken zijn"	Utrechts
21	"een tukkie doen"	"een middagdutje doen"	Utrechts
22	"geen zit in je gat hebbe"	"niet stil kunnen zitten"	Utrechts
23	"t nie kunnen make"	"niet met gepast geld kunnen betalen"	Utrechts
24	"iemand kenne zwete"	"hem gemakkelijk de baas kunnen blijven"	Utrechts
25	"in zijn achterkamer zijn"	terneergeslagen	Utrechts
26	"op je achterste poten gaan staan"	"boos worden / zo veel mogelijk moeite doen"	Utrechts
27	"op apegapen liggen"	"zieltogen / erg benauwd zijn"	Utrechts
28	"op je leste benen lopen"	"niet lang meer te leven hebben"	Utrechts
29	"blaffe van de honger"	"hevige honger hebben"	Utrechts
30	"van de hoge boom leve"	"zijn kapitaal interen"	Utrechts
31	"op je brits krijgen"	"straf krijgen"	Utrechts
32	"deur de dirrekedons motte"	"het moeilijk krijgen"	Utrechts
33	"uit je doppen moeten kijken"	"Uitkijken, oppassen"	Utrechts
34	"op z'n flikker geven"	"Een standje geven / klappen uitdelen"	Utrechts
35	"opgroeie voor galg en rad"	"van die jongen komt niets terecht"	Utrechts
36	"onder de geboie staan"	"ondertrouwd zijn"	Utrechts
37	"voor gerst en kaneelwater lope"	"voor spek en bone meedoen"	Utrechts
38	"aan gruzelemente slaan"	"Helemaal kapot slaan"	Utrechts
39	"bij 't hek zijn"	"bijdehand zijn"	Utrechts
40	"in t gemoet gaan"	"tegemoet gaan"	Utrechts
41	"op katjesspul uitlope"	"op ruzie uitlopen"	Utrechts
42	"in de knoei zitte"	"Problemen hebben"	Utrechts
43	"in z'n knolletuin zijn"	"in z'n sas zijn"	Utrechts
44	"voor zijn kont schoppe; dat karweitje zullen we maar 's gauw voor zijn kont schoppe"	afmaken	Utrechts
45	"in de kijkert lope"	"ongewenst aandacht trekken"	Utrechts
46	"in t labberent zijn"	"ziekelijk zijn"	Utrechts
47	"de hort op zijn"	"Weg zijn"	Utrechts
48	"in 't gemoet gaan"	"tegemoet gaan"	Utrechts
49	"bove Jan zijn"	"de moeilijkheden te boven zijn"	Utrechts
50	"op studie legge"	studeren	Utrechts
51	"op iemand lope"	"iemand trachten te ontmoeten, opwachten om hem een pak slaag te geven, te molesteren, verwonden"	Utrechts
52	"in de maling neme"	"voor de gek houden"	Utrechts
53	"op 't mat komme"	"betrappen bij iets dat niet in orde is."	Utrechts
54	"op merode zijn/gaan"	"gaan stropen"	Utrechts
55	"binne mikke zijn"	"binnen zijn, geborgen"	Utrechts
56	"in de neste zitte"	"in moeilijkheden verkeren"	Utrechts
57	"in z'n nest jage"	"bang maken"	Utrechts
58	"te pas komme"	"een vrij ernstig ongeluk krijgen"	Utrechts
59	"in z'n raap geslagen hebben"	"veel eten"	Utrechts
60	"op/over z'n rekening zijn"	"wordt gezegd van een koe die de datum heeft bereikt, waarop ze kalven moet, of als die datum overschreden is"	Utrechts
61	"bij de roest kope"	"niet afgewogen, maar naar schatting kopen"	Utrechts
62	"op z'n rug te spreke zijn"	"zeer ontevreden zijn over iets"	Utrechts
63	"an 't mes rijge"	"doorsteken als bedreiging"	Utrechts
64	"dat gaat van sassenbloed"	"dat gaat slechts met moeite"	Utrechts
65	"op scheut zijn/rake/komme"	"gevorderd zijn"	Utrechts
66	"op de schupstoel zitte"	"niet zeker weten of men in zijn huis kan blijven wonen."	Utrechts
67	"in de slof blijve"	"niet gedaan worden"	Utrechts
68	"in z'n stinkerd zitte"	"bang zijn, in angst zitten"	Utrechts
69	"op te suikerstukke komme"	"een bezoek brengen bij een kraamvrouw"	Utrechts
