strategy_data_id	parameter_definition_id	value_shorttext	value_text	value_definition_id	strategy
1	Aspect1			Simple	1
2	DODeterminer1			Bare	1
3	GenStructure1	"V DO"			1
4	Tense1			Present	1
5	Voice1			Active	1
6	Aspect1			Simple	2
7	DODeterminer1			Bare	2
8	GenStructure1	"V DO PP"			2
9	SpecialVerb1			Hebben	2
10	Tense1			Present	2
11	Voice1			Active	2
12	Aspect1			Simple	3
13	DODeterminer1			Bare	3
14	GenStructure1	"V DO"			3
15	SpecialVerb1			zijn	3
16	Tense1			Present	3
17	Voice1			Active	3
18	Aspect1			Simple	4
19	DODeterminer1			BarePlural	4
20	GenStructure1	"V DO"			4
21	Tense1			Present	4
22	Voice1			Active	4
23	Aspect1			Simple	5
24	DODeterminer1			Bare	5
25	GenStructure1	"V DO"			5
26	Tense1			Present	5
27	Voice1			Active	5
28	Aspect1			Simple	6
29	DODeterminer1			Bare	6
30	GenStructure1	"V DO"			6
31	Modifier1			yes	6
32	SpecialVerb1			hebben	6
33	Tense1			Present	6
34	Voice1			Active	6
35	Aspect1			Simple	7
36	DODeterminer1			Bare	7
37	GenStructure1	"V DO"			7
38	SpecialVerb1			hebben	7
39	Tense1			Present	7
40	Voice1			Active	7
41	Aspect1			Simple	8
42	DODeterminer1			Bare	8
43	GenStructure1	"V DO"			8
44	Tense1			Present	8
45	Voice1			Active	8
46	Aspect1			Simple	9
47	DODeterminer1			Bare	9
48	GenStructure1	"V DO"			9
49	Tense1			Present	9
50	Voice1			Active	9
51	Aspect1			Simple	10
52	DODeterminer1			Bare	10
53	GenStructure1	"V DO"			10
54	Tense1			Present	10
55	Voice1			Active	10
56	Aspect1			Simple	11
57	DODeterminer1			Bare	11
58	GenStructure1	"V DO"			11
59	SpecialVerb1			zijn	11
60	Tense1			Present	11
61	Voice1			Active	11
62	Alienability1			Inalienable	12
63	Aspect1			Simple	12
64	DODeterminer1			Poss	12
65	GenStructure1	"V DO"			12
67	Tense1			Present	12
68	Voice1			Active	12
69	Alienability1			Inalienable	13
70	Aspect1			Simple	13
71	DODeterminer1			Poss	13
72	GenStructure1	"V DO"			13
74	SpecialVerb1			hebben	13
75	Tense1			Present	13
76	Voice1			Active	13
77	Alienability1			Alienable	14
78	Aspect1			Simple	14
79	DODeterminer1			Poss	14
80	GenStructure1	"V DO"			14
82	Tense1			Present	14
83	Voice1			Active	14
84	Alienability1			Inalienable	15
85	Aspect1			Simple	15
86	DODeterminer1			Poss	15
87	GenStructure1	"V DO"			15
89	Tense1			Present	15
90	Voice1			Active	15
91	Aspect1			Simple	16
92	DODeterminer1			Definite	16
93	GenStructure1	"V DO"			16
95	SpecialVerb1			Hebben	16
96	Tense1			Present	16
97	Voice1			Active	16
98	Aspect1			Simple	17
99	DODeterminer1			Definite	17
100	GenStructure1	"V DO"			17
102	Tense1			Present	17
103	Voice1			Active	17
104	Aspect1			Simple	18
105	DODeterminer1			Indefinite	18
106	GenStructure1	"V DO"			18
107	SpecialVerb1			zijn	18
108	Tense1			Present	18
109	Voice1			Active	18
110	Aspect1			Simple	19
111	DODeterminer1			Indefinite	19
112	GenStructure1	"V DO"			19
113	SpecialVerb1			zijn	19
114	Tense1			Present	19
115	Voice1			Active	19
116	Aspect1			Simple	20
117	DODeterminer1			Indefinite	20
118	GenStructure1	"V DO"			20
119	SpecialVerb1			hebben	20
120	Tense1			Present	20
121	Voice1			Active	20
122	Aspect1			Simple	21
123	DODeterminer1			Indefinite	21
124	GenStructure1	"V DO"			21
125	Tense1			Present	21
126	Voice1			Active	21
127	Aspect1			Simple	22
128	DODeterminer1			Quantified	22
129	GenStructure1	"V DO PP"			22
130	SpecialVerb1			hebben	22
131	Tense1			Present	22
132	Voice1			Active	22
133	Aspect1			Simple	23
134	GenStructure1	"V DO"			23
135	Modality1			Dynamic	23
136	Tense1			Present	23
137	Voice1			Active	23
138	Aspect1			Simple	24
139	GenStructure1	"V DO"			24
140	OpenAnimacy1			Animate	24
141	OpenPosition1			DO	24
142	Tense1			Present	24
143	Voice1			Active	24
144	Aspect1			Simple	25
145	GenStructure1	"V PP"			25
146	SpecialVerb1			zijn	25
147	Tense1			Present	25
148	Voice1			Active	25
149	Aspect1			Simple	26
150	GenStructure1	"V PP"			26
151	Tense1			Present	26
152	Voice1			Active	26
153	Aspect1			Simple	27
154	GenStructure1	"V PP"			27
155	Tense1			Present	27
156	Voice1			Active	27
157	Aspect1			Simple	28
158	GenStructure1	"V PP"			28
159	Tense1			Present	28
160	Voice1			Active	28
161	Aspect1			Simple	29
162	GenStructure1	"V PP"			29
163	Tense1			Present	29
164	Voice1			Active	29
165	Aspect1			Simple	30
166	GenStructure1	"V PP"			30
167	Tense1			Present	30
168	Voice1			Active	30
169	Aspect1			Simple	31
170	GenStructure1	"V PP"			31
171	Tense1			Present	31
172	Voice1			Active	31
173	Aspect1			Simple	32
174	GenStructure1	"V PP"			32
175	Modality1			Deontic	32
176	Tense1			Present	32
177	Voice1			Active	32
178	Aspect1			Simple	33
179	GenStructure1	"V PP"			33
180	Tense1			Present	33
181	Voice1			Active	33
182	Aspect1			Simple	34
183	GenStructure1	"V PP"			34
184	Tense1			Present	34
185	Voice1			Active	34
186	Aspect1			Simple	35
187	GenStructure1	"V PP"			35
188	Tense1			Present	35
189	Voice1			Active	35
190	Aspect1			Simple	36
191	GenStructure1	"V PP"			36
192	Tense1			Present	36
193	Voice1			Active	36
194	Aspect1			Simple	37
195	GenStructure1	"V PP"			37
196	Tense1			Present	37
197	Voice1			Active	37
198	Aspect1			Simple	38
199	GenStructure1	"V PP"			38
200	Tense1			Present	38
201	Voice1			Active	38
202	Aspect1			Simple	39
203	GenStructure1	"V PP"			39
204	SpecialVerb1			zijn	39
205	Tense1			Present	39
206	Voice1			Active	39
207	Aspect1			Simple	40
208	GenStructure1	"V PP"			40
209	Tense1			Future	40
210	Voice1			Active	40
211	Aspect1			Simple	41
212	GenStructure1	"V PP"			41
213	Tense1			Present	41
214	Voice1			Active	41
215	Aspect1			Simple	42
216	GenStructure1	"V PP"			42
217	Tense1			Present	42
218	Voice1			Active	42
219	Aspect1			Simple	43
220	GenStructure1	"V PP"			43
221	SpecialVerb1			zijn	43
222	Tense1			Present	43
223	Voice1			Active	43
224	Aspect1			Simple	44
225	GenStructure1	"V PP"			44
226	Tense1			Present	44
227	Voice1			Active	44
228	Aspect1			Simple	45
229	GenStructure1	"V PP"			45
230	Tense1			Present	45
231	Voice1			Active	45
232	Aspect1			Simple	46
233	GenStructure1	"V PP"			46
234	SpecialVerb1			zijn	46
235	Tense1			Present	46
236	Voice1			Active	46
237	Aspect1			Simple	47
238	GenStructure1	"V PP"			47
239	SpecialVerb1			zijn	47
240	Tense1			Present	47
241	Voice1			Active	47
242	Aspect1			Simple	48
243	GenStructure1	"V PP"			48
244	Tense1			Present	48
245	Voice1			Active	48
246	Aspect1			Simple	49
247	GenStructure1	"V PP"			49
248	Tense1			Present	49
249	Voice1			Active	49
250	Aspect1			Simple	50
251	GenStructure1	"V PP"			50
252	Tense1			Present	50
253	Voice1			Active	50
254	Aspect1			Simple	51
255	GenStructure1	"V PP"			51
256	Tense1			Present	51
257	Voice1			Active	51
258	Aspect1			Simple	52
259	GenStructure1	"V PP"			52
260	Tense1			Present	52
261	Voice1			Active	52
262	Aspect1			Simple	53
263	GenStructure1	"V PP"			53
264	Tense1			Present	53
265	Voice1			Active	53
266	Aspect1			Simple	54
267	GenStructure1	"V PP"			54
268	Tense1			Future	54
269	Voice1			Active	54
270	Aspect1			Simple	55
271	GenStructure1	"V PP"			55
272	SpecialVerb1			zijn	55
273	Tense1			Present	55
274	Voice1			Active	55
275	Aspect1			Simple	56
276	GenStructure1	"V PP"			56
277	Tense1			Present	56
278	Voice1			Active	56
279	Aspect1			Simple	57
280	GenStructure1	"V PP"			57
281	Tense1			Present	57
282	Voice1			Active	57
283	Aspect1			Simple	58
284	GenStructure1	"V PP"			58
285	Tense1			Present	58
286	Voice1			Active	58
287	Aspect1			Perfect	59
288	GenStructure1	"V PP"			59
289	Tense1			Present	59
290	Voice1			Active	59
291	Aspect1			Simple	60
292	GenStructure1	"V PP"			60
293	SpecialVerb1			zijn	60
294	Tense1			Present	60
295	Voice1			Active	60
296	Aspect1			Simple	61
297	GenStructure1	"V PP"			61
298	Tense1			Present	61
299	Voice1			Active	61
300	Aspect1			Simple	62
301	GenStructure1	"V PP"			62
302	SpecialVerb1			zijn	62
303	Tense1			Present	62
304	Voice1			Active	62
305	Aspect1			Simple	63
306	GenStructure1	"V PP"			63
307	Tense1			Present	63
308	Voice1			Active	63
309	Aspect1			Simple	64
310	GenStructure1	"V PP"			64
311	Tense1			Present	64
312	Voice1			Active	64
313	Aspect1			Simple	65
314	GenStructure1	"V PP"			65
315	Tense1			Present	65
316	Voice1			Active	65
317	Aspect1			Simple	66
318	GenStructure1	"V PP"			66
319	Tense1			Present	66
320	Voice1			Active	66
321	Aspect1			Simple	67
322	GenStructure1	"V PP"			67
323	Tense1			Present	67
324	Voice1			Active	67
325	Aspect1			Simple	68
326	GenStructure1	"V PP"			68
327	Tense1			Present	68
328	Voice1			Active	68
329	Aspect1			Simple	69
330	GenStructure1	"V PP"			69
331	Tense1			Present	69
332	Voice1			Active	69
333	Aspect1			Simple	70
334	GenStructure1	"V PP"			70
335	SpecialVerb1			hebben	70
336	Tense1			Present	70
337	Voice1			Active	70
338	Aspect1			Simple	71
339	GenStructure1	"V PP"			71
340	Tense1			Present	71
341	Voice1			Active	71
342	Aspect1			Simple	72
343	GenStructure1	"V PP"			72
344	Tense1			Present	72
345	Voice1			Active	72
346	Aspect1			Simple	73
347	GenStructure1	"V PP"			73
348	Tense1			Present	73
349	Voice1			Active	73
350	Aspect1			Simple	74
351	GenStructure1	"V PP"			74
352	Tense1			Present	74
353	Voice1			Active	74
354	Aspect1			Simple	75
355	GenStructure1	"V PP"			75
356	SpecialVerb1			hebben	75
357	Tense1			Present	75
358	Voice1			Active	75
359	Aspect1			Simple	76
360	DODeterminer1			Definite	76
361	GenStructure1	"V DO IO"			76
362	OpenAnimacy1			Animate	76
363	OpenPosition1			IO	76
365	Tense1			Present	76
366	Voice1			Active	76
367	Aspect1			Simple	77
368	DODeterminer1			Definite	77
369	GenStructure1	"V DO IO"			77
370	OpenAnimacy1			Animate	77
371	OpenPosition1			IO	77
373	Tense1			Present	77
374	Voice1			Active	77
376	Aspect1			Simple	78
377	DODeterminer1			Definite	78
378	GenStructure1	"V DO IO"			78
379	OpenAnimacy1			Animate	78
380	OpenPosition1			IO	78
382	Tense1			Present	78
383	Voice1			Active	78
385	Aspect1			Simple	79
386	DODeterminer1			BareCoordinated	79
387	GenStructure1	"V DO IO"			79
388	OpenAnimacy1			Animate	79
389	OpenPosition1			IO	79
390	Tense1			Present	79
391	Voice1			Active	79
392	Aspect1			Simple	80
393	DODeterminer1			Bare	80
394	GenStructure1	"V DO IO"			80
395	OpenAnimacy1			Animate	80
396	OpenPosition1			IO	80
397	Tense1			Present	80
398	Voice1			Active	80
399	Alienability1			Inalienable	81
400	Aspect1			Simple	81
401	DODeterminer1			Poss	81
402	GenStructure1	"V DO PP"			81
404	Tense1			Present	81
405	Voice1			Active	81
406	Aspect1			Simple	82
407	DODeterminer1			Quantified	82
408	GenStructure1	"V DO PP"			82
409	SpecialVerb1			hebben	82
410	Tense1			Present	82
411	Voice1			Active	82
412	Aspect1			Simple	83
413	DODeterminer1			Quantified	83
414	GenStructure1	"V DO PP"			83
415	SpecialVerb1			zijn	83
416	Tense1			Present	83
417	Voice1			Active	83
418	Aspect1			Simple	84
419	DODeterminer1			Indefinite	84
420	GenStructure1	"V DO PP"			84
421	SpecialVerb1			hebben	84
422	Tense1			Present	84
423	Voice1			Active	84
424	Aspect1			Simple	85
425	DODeterminer1			Indefinite	85
426	GenStructure1	"V DO"			85
427	Modifier1			yes	85
428	SpecialVerb1			hebben	85
429	Tense1			Present	85
430	Voice1			Active	85
431	Aspect1			Simple	86
432	GenStructure1	"V(part) PP PP"			86
433	OpenAnimacy1			Inanimate	86
434	OpenPosition1			PP	86
435	Tense1			Present	86
436	Voice1			Active	86
438	Aspect1			Simple	87
439	GenStructure1	"V PP PP"			87
440	OpenAnimacy1			Inanimate	87
441	OpenPosition1			PP	87
442	Tense1			Present	87
443	Voice1			Active	87
445	Aspect1			Simple	88
446	GenStructure1	"V DO PP"			88
447	OpenAnimacy1			Animate	88
448	OpenPosition1			DO	88
449	Tense1			Present	88
450	Voice1			Active	88
451	Aspect1			Simple	89
452	DODeterminer1			Indefinite	89
453	GenStructure1	"V DO PP"			89
454	Tense1			Present	89
455	Voice1			Active	89
456	Aspect1			Simple	90
457	GenStructure1	"V DO PP"			90
458	OpenAnimacy1			Animate	90
459	OpenPosition1			DO	90
460	Tense1			Present	90
461	Voice1			Active	90
462	Aspect1			Simple	91
463	DODeterminer1			Definite	91
464	GenStructure1	"V DO PP"			91
465	Modality1			Dynamic	91
466	PossType1			PP	91
467	Tense1			Present	91
468	Voice1			Active	91
469	Alienability1			Inalienable	92
470	Aspect1			Simple	92
471	DODeterminer1			Poss	92
472	GenStructure1	"V DO PP"			92
474	Tense1			Present	92
475	Voice1			Active	92
476	Aspect1			Simple	93
477	GenStructure1	"V DO PP"			93
478	SpecialVerb1			hebben	93
479	Tense1			Present	93
480	Voice1			Active	93
481	Aspect1			Simple	94
482	DODeterminer1			Definite	94
483	GenStructure1	"V DO PP"			94
484	Tense1			Present	94
485	Voice1			Active	94
486	Aspect1			Simple	95
487	GenStructure1	"V DO PP"			95
488	OpenAnimacy1			Animate	95
489	OpenPosition1			DO	95
490	Tense1			Present	95
491	Voice1			Active	95
492	Aspect1			Simple	96
493	DODeterminer1			Indefinite	96
494	GenStructure1	"V DO PP"			96
496	Tense1			Present	96
497	Voice1			Active	96
498	Aspect1			Simple	97
499	DODeterminer1			Quantified	97
500	GenStructure1	"V DO PP"			97
501	Tense1			Present	97
502	Voice1			Active	97
503	Aspect1			Simple	98
504	DODeterminer1			Poss	98
505	GenStructure1	"V DO PP"			98
506	Modifier1			yes	98
507	OpenAnimacy1			Inanimate	98
508	OpenPosition1			PP	98
510	Tense1			Present	98
511	Voice1			Active	98
512	Aspect1			Simple	99
513	DODeterminer1			Definite	99
514	GenStructure1	"V DO PP"			99
515	Modality1			Deontic	99
516	Tense1			Present	99
517	Voice1			Active	99
518	Aspect1			Simple	100
519	GenStructure1	"V PP PP"			100
520	OpenAnimacy1			Inanimate	100
521	OpenPosition1			PP	100
522	Tense1			Present	100
523	Voice1			Active	100
525	Aspect1			Simple	101
526	GenStructure1	"V PP"			101
527	Tense1			Present	101
528	Voice1			Active	101
529	Aspect1			Simple	102
530	DODeterminer1			Bare	102
531	GenStructure1	"V DO PP"			102
532	SpecialVerb1			hebben	102
533	Tense1			Present	102
534	Voice1			Active	102
535	Aspect1			Simple	103
536	DODeterminer1			Bare	103
537	GenStructure1	"V DO PP"			103
538	SpecialVerb1			hebben	103
539	Tense1			Present	103
540	Voice1			Active	103
541	Aspect1			Simple	104
542	GenStructure1	"V DO PP"			104
543	OpenAnimacy1			Animate	104
544	OpenPosition1			DO	104
545	Tense1			Present	104
546	Voice1			Active	104
547	Alienability1			Inalienable	105
548	Aspect1			Simple	105
549	DODeterminer1			Poss	105
550	GenStructure1	"V DO PP"			105
552	Tense1			Present	105
553	Voice1			Active	105
554	Aspect1			Simple	106
555	GenStructure1	"V DO PP"			106
556	OpenAnimacy1			Animate	106
557	OpenPosition1			DO	106
558	Tense1			Present	106
559	Voice1			Active	106
560	Aspect1			Simple	107
561	GenStructure1	"V DO PP"			107
562	OpenAnimacy1			Inanimate	107
563	OpenPosition1			DO	107
564	Tense1			Present	107
565	Voice1			Active	107
566	Aspect1			Simple	108
567	DODeterminer1			Indefinite	108
568	GenStructure1	"V DO PP"			108
569	Tense1			Present	108
570	Voice1			Active	108
571	Aspect1			Simple	109
572	DODeterminer1			Bare	109
573	GenStructure1	"V DO PP"			109
574	OpenAnimacy1			Inanimate	109
575	OpenPosition1			PP	109
576	SpecialVerb1			hebben	109
577	Tense1			Present	109
578	Voice1			Active	109
579	Aspect1			Simple	110
580	DODeterminer1			Indefinite	110
581	GenStructure1	"V DO PP"			110
583	Tense1			Present	110
584	Voice1			Active	110
585	Aspect1			Simple	111
586	GenStructure1	"V DO PP"			111
587	OpenAnimacy1			Inanimate	111
588	OpenPosition1			DO	111
589	SpecialVerb1			hebben	111
590	Tense1			Present	111
591	Voice1			Active	111
592	Aspect1			Simple	112
593	DODeterminer1			DefinitePlural	112
594	GenStructure1	"V DO PP"			112
595	Tense1			Present	112
596	Voice1			Active	112
597	Aspect1			Simple	113
598	DODeterminer1			Definite	113
599	GenStructure1	"V DO PP"			113
600	Tense1			Present	113
601	Voice1			Active	113
602	Aspect1			Simple	114
603	GenStructure1	"V DO PP"			114
604	OpenAnimacy1			Animate	114
605	OpenPosition1			DO	114
606	Tense1			Present	114
607	Voice1			Active	114
608	Alienability1			Inalienable	115
609	Aspect1			Simple	115
610	DODeterminer1			Poss	115
611	GenStructure1	"V DO PP"			115
613	Tense1			Present	115
614	Voice1			Active	115
615	Aspect1			Simple	116
616	GenStructure1	"V DO PP"			116
617	OpenAnimacy1			Animate	116
618	OpenPosition1			DO	116
619	Tense1			Present	116
620	Voice1			Active	116
621	Aspect1			Simple	117
622	DODeterminer1			Indefinite	117
623	GenStructure1	"V DO PP"			117
624	Tense1			Present	117
625	Voice1			Active	117
626	Aspect1			Simple	118
627	DODeterminer1			Indefinite	118
628	GenStructure1	"V DO PP"			118
629	PossType1			PP	118
630	Tense1			Present	118
631	Voice1			Active	118
632	Aspect1			Simple	119
633	GenStructure1	"V DO PP"			119
634	OpenAnimacy1			Animate	119
635	OpenPosition1			DO	119
636	SpecialVerb1			hebben	119
637	Tense1			Present	119
638	Voice1			Active	119
639	Aspect1			Simple	120
640	DODeterminer1			Definite	120
641	GenStructure1	"V DO PP"			120
642	SpecialVerb1			hebben	120
643	Tense1			Present	120
644	Voice1			Active	120
645	Aspect1			Simple	121
646	DODeterminer1			Bare	121
647	GenStructure1	"V DO PP"			121
648	Tense1			Present	121
649	Voice1			Active	121
650	Aspect1			Simple	122
651	DODeterminer1			Quantified	122
652	GenStructure1	"V DO PP"			122
653	PossType1			PP	122
654	SpecialVerb1			hebben	122
655	Tense1			Present	122
656	Voice1			Active	122
657	Aspect1			Simple	123
658	DODeterminer1			Bare	123
659	GenStructure1	"V DO PP"			123
660	Tense1			Present	123
661	Voice1			Active	123
662	Aspect1			Simple	124
663	DODeterminer1			Bare	124
664	GenStructure1	"V DO IO PP"			124
665	OpenAnimacy1			AnimateInanimate	124
666	OpenPosition1			IOPP	124
667	Tense1			Present	124
668	Voice1			Active	124
669	Aspect1			Simple	125
670	DODeterminer1			Definite	125
671	GenStructure1	"V DO IO PP"			125
672	OpenAnimacy1			Animate	125
673	OpenPosition1			IO	125
675	Tense1			Present	125
676	Voice1			Active	125
677	Aspect1			Simple	126
678	GenStructure1	"V PP PP"			126
679	Tense1			Present	126
680	Voice1			Active	126
681	Aspect1			Simple	127
682	GenStructure1	"V PP PP"			127
683	Tense1			Present	127
684	Voice1			Active	127
685	Aspect1			Simple	128
686	GenStructure1	"V PP PP"			128
687	Tense1			Present	128
688	Voice1			Active	128
689	Aspect1			Simple	129
690	GenStructure1	"Subj VP"			129
691	Tense1			Present	129
692	Voice1			Active	129
693	Aspect1			Simple	130
694	Tense1			Present	130
695	Voice1			Active	130
697	Aspect1			Simple	131
698	GenStructure1	"Subj VP"			131
699	Tense1			Present	131
700	Voice1			Active	131
701	Aspect1			Simple	132
702	GenStructure1	"Subj VP"			132
703	Tense1			Present	132
704	Voice1			Active	132
705	Aspect1			Simple	133
706	GenStructure1	"V PP"			133
708	Tense1			Present	133
709	Voice1			Passive	133
711	Aspect1			Simple	134
712	GenStructure1	"V A/Adv"			134
713	Tense1			Present	134
714	Voice1			Active	134
715	Aspect1			Simple	135
716	GenStructure1	"V A/Adv PP"			135
717	Tense1			Present	135
718	Voice1			Active	135
719	Aspect1			Simple	136
720	GenStructure1	"t is X"			136
721	Tense1			Present	136
722	Voice1			Active	136
723	Aspect1			Simple	137
724	GenStructure1	"t is X"			137
725	Tense1			Present	137
726	Voice1			Active	137
727	Aspect1			Simple	138
728	GenStructure1	"t is X"			138
729	Tense1			Present	138
730	Voice1			Active	138
