value_id	value_type_id	value_label
Active	DeterminerManipulations	Active
Active	ModalityManipulations	Active
Active	TenseVoiceAspectManipulations	Active
Active	Voice	Active
Alienable	Alienability	Alienable
AlienableInalienable	Alienability	"Alienable + Inalienable"
AlternativeDeontic	ModalityManipulations	"Alternative deontic modality"
AlternativeDynamic	ModalityManipulations	"Alternative dynamic modality"
AlternativeEpistemic	ModalityManipulations	"Alternative epistemic modality"
AlternativeFuture	FutureWordenManipulations	"Alternative future"
AlternativeFuture	TenseVoiceAspectManipulations	"Alternative future"
AlternativeModification	DeterminerManipulations	"Alternative modification"
AlternativeObject	ModalityManipulations	"Alternative object"
AlternativeObject	TenseVoiceAspectManipulations	"Alternative object"
AlternativeProgressive	TenseVoiceAspectManipulations	"Alternative progressive"
AlternativeQuantifier	DeterminerManipulations	"Alternative quantifier"
AlternativeSubject	ModalityManipulations	"Alternative subject"
AlternativeSubject	TenseVoiceAspectManipulations	"Alternative subject"
AlternativeVerb	TenseVoiceAspectManipulations	"Alternative verb"
Animate	Animacy	Animate
Animate	OpenAnimacy	Animate
AnimateInanimate	Animacy	"Animate + Inanimate"
AnimateInanimate	OpenAnimacy	"Animate + Inanimate"
Bare	DOType	Bare
BareCoordinated	DOType	"Bare coordinated"
BareNoun	DeterminerManipulations	"Bare noun"
BareNoun	ExternalPossessionManipulation	"Bare noun"
BarePlural	DeterminerManipulations	"Bare plural"
BarePlural	DOType	"Bare plural"
BarePluralCoordinated	DOType	"Bare plural coordinated "
Definite	DOType	Definite
DefiniteCoordinated	DOType	"Definite coordinated"
DefiniteDeterminer	DeterminerManipulations	"Definite determiner"
DefiniteDeterminer	Properties	"Definite determiner DO"
DefinitePlural	DOType	"Definite plural"
Demonstrative	DeterminerManipulations	Demonstrative
Deontic	Modality	Deontic
DeonticModality	FutureWordenManipulations	"Deontic modality"
DeonticModality	ModalityManipulations	"Deontic modality"
DeonticModality	Properties	"Deontic modality"
DeterminerDrop	DeterminerManipulations	"Determiner drop"
DeterminerDropDefiniteDetermin	DeterminerManipulations	"Determiner drop + definite determiner"
DeterminerDropDemonstrative	DeterminerManipulations	"Determiner drop + demonstrative"
DeterminerDropDP	ExternalPossessionManipulation	"Determiner drop with DP"
DeterminerDropDPPP	ExternalPossessionManipulation	"Determiner drop with DP + PP"
DeterminerDropIndefiniteDeterm	DeterminerManipulations	"Determiner drop + indefinite determiner"
DeterminerDropPossessive	DeterminerManipulations	"Determiner drop + possessive"
DeterminerDropPP	ExternalPossessionManipulation	"Determiner drop with PP"
DeterminerDropPP2	ExternalPossessionManipulation	"Determiner drop with PP2"
DeterminerDropPPPossessivePP2	ExternalPossessionManipulation	"Determiner drop with PP + possessive PP2"
DeterminerDropPPPP2	ExternalPossessionManipulation	"Determiner drop with PP + PP2"
DO	OpenPosition	DO
DOIO	OpenPosition	"DO + IO"
DOPP	OpenPosition	"DO + PP"
DPPossessive	PossessiveManipulations	"DP + possessive pronoun 'Jan zijn X'"
DPPossessive	Properties	"DP + possessive pronoun 'Jan zijn X'"
Dynamic	Modality	Dynamic
DynamicCan	FutureWordenManipulations	"Dynamic modality with can"
